,abs_coef,indicator
original_gldm_SmallDependenceHighGrayLevelEmphasis_min,0.25473659848562236,-1
original_ngtdm_Complexity_min,0.25369130919798355,-1
original_gldm_LowGrayLevelEmphasis_max,0.252545701616566,1
original_ngtdm_Contrast_50%,0.2516459317119433,1
original_firstorder_Variance_50%,0.25063390647004025,1
original_glcm_Autocorrelation_5%,0.2502429728230409,1
original_ngtdm_Complexity_max,0.2485854330438699,1
original_gldm_SmallDependenceLowGrayLevelEmphasis_50%,0.24827111444968017,-1
original_firstorder_Kurtosis_min,0.24763431170380254,1
original_glcm_InverseVariance_mean,0.24699671573818943,-1
original_glcm_Correlation_std,0.24658345721918234,-1
original_glszm_GrayLevelNonUniformityNormalized_95%,0.24365023988300727,-1
original_glrlm_GrayLevelNonUniformityNormalized_95%,0.24308882016215594,-1
original_gldm_LargeDependenceHighGrayLevelEmphasis_mean,0.24303879624059774,-1
original_glrlm_RunVariance_5%,0.24251141896802345,-1
original_glszm_ZoneVariance_5%,0.24251141896802345,-1
original_shape2D_MajorAxisLength_min,0.24027499681352846,1
original_firstorder_Entropy_5%,0.23936313688086197,1
original_glrlm_LongRunEmphasis_min,0.23766046607971983,-1
original_glszm_LargeAreaEmphasis_min,0.23766046607971983,-1
original_firstorder_Entropy_std,0.2373552697651365,1
original_firstorder_InterquartileRange_min,0.23715508639686744,-1
original_gldm_SmallDependenceHighGrayLevelEmphasis_5%,0.23435000358760674,-1
original_gldm_DependenceVariance_50%,0.23406219347305535,1
original_firstorder_10Percentile_std,0.2338099953111291,1
original_gldm_DependenceNonUniformity_50%,0.23335674558725075,-1
original_firstorder_Minimum_95%,0.2310609426395199,1
original_glszm_SizeZoneNonUniformityNormalized_min,0.22714724006452383,-1
original_glrlm_RunLengthNonUniformityNormalized_min,0.22714724006452253,-1
original_glcm_Id_5%,0.2265561309119706,1
original_shape2D_Sphericity_5%,0.22648116955977476,-1
original_glcm_Imc2_std,0.22491926934020456,1
original_gldm_LargeDependenceLowGrayLevelEmphasis_std,0.2244415746584768,1
original_shape2D_Elongation_50%,0.22422014539944005,-1
original_glcm_JointEnergy_5%,0.22367721872656815,-1
original_gldm_DependenceVariance_95%,0.22282120900217237,1
original_glcm_Imc1_max,0.22223913302493017,1
original_glrlm_GrayLevelNonUniformityNormalized_max,0.22192799881568934,-1
original_glszm_GrayLevelNonUniformityNormalized_max,0.22192799881568934,-1
original_glrlm_RunEntropy_max,0.2206359496241095,1
original_glszm_ZoneEntropy_max,0.2206359496241095,1
original_firstorder_Range_max,0.21986355355065512,1
original_glszm_SizeZoneNonUniformityNormalized_max,0.21897634161532872,-1
original_glrlm_RunLengthNonUniformityNormalized_max,0.21897634161532872,-1
original_gldm_LargeDependenceHighGrayLevelEmphasis_max,0.21844233951602418,-1
original_glrlm_GrayLevelVariance_50%,0.2152590020763762,1
original_ngtdm_Complexity_mean,0.21513985456786627,1
original_glszm_GrayLevelVariance_50%,0.21500116092501245,1
original_firstorder_Energy_min,0.21470598136207872,-1
original_firstorder_TotalEnergy_min,0.21470598136207872,-1
original_gldm_LowGrayLevelEmphasis_std,0.2144187093480844,1
original_firstorder_Energy_std,0.21213703030778788,1
original_firstorder_TotalEnergy_std,0.21213703030778788,1
original_glcm_JointEntropy_min,0.21186252940623748,-1
original_shape2D_MaximumDiameter_min,0.2115394480738898,-1
original_glrlm_ShortRunLowGrayLevelEmphasis_50%,0.2112924148821649,-1
original_glszm_SmallAreaLowGrayLevelEmphasis_50%,0.20969230131736172,-1
original_firstorder_Median_95%,0.2089219852207346,-1
original_glcm_Contrast_min,0.20399635010292763,-1
original_firstorder_RobustMeanAbsoluteDeviation_std,0.20368055649048153,1
original_firstorder_Skewness_5%,0.20342855618576125,-1
original_glcm_DifferenceEntropy_std,0.20341260369590752,-1
original_glcm_Contrast_std,0.20012259712123437,-1
original_glcm_Id_max,0.20008062460657766,-1
original_ngtdm_Complexity_std,0.1997874250085188,-1
original_firstorder_Maximum_50%,0.19900187096937058,1
original_glcm_DifferenceEntropy_50%,0.1978781078854455,-1
original_glrlm_RunLengthNonUniformity_mean,0.19754949154483584,1
original_firstorder_TotalEnergy_mean,0.19741908726939253,1
original_firstorder_Energy_mean,0.19741908726939253,1
original_shape2D_MinorAxisLength_min,0.19716092832212892,1
original_shape2D_PerimeterSurfaceRatio_std,0.19668135161061623,1
original_glrlm_GrayLevelNonUniformityNormalized_min,0.19611069751492802,1
original_glszm_GrayLevelNonUniformityNormalized_min,0.19611069751492802,1
original_glszm_SizeZoneNonUniformity_mean,0.19605966381230389,1
original_glrlm_LowGrayLevelRunEmphasis_max,0.1956596534886929,1
original_glszm_LowGrayLevelZoneEmphasis_max,0.1956596534886929,1
original_gldm_DependenceNonUniformityNormalized_5%,0.19478804003825034,1
original_glrlm_RunVariance_50%,0.19373163241488475,-1
original_glszm_ZoneVariance_50%,0.19373163241488475,-1
original_firstorder_RootMeanSquared_min,0.19251246992790075,1
original_firstorder_MeanAbsoluteDeviation_std,0.1923641413555922,1
original_gldm_GrayLevelVariance_50%,0.19179829632356635,1
original_shape2D_Perimeter_std,0.19069336249688865,1
original_firstorder_Minimum_std,0.19034332363421905,1
original_ngtdm_Contrast_min,0.18892112518667972,-1
original_glcm_ClusterTendency_50%,0.18836337807359338,1
original_shape2D_MinorAxisLength_mean,0.18811020253386365,1
original_shape2D_MajorAxisLength_max,0.1863505004354506,1
original_glcm_Idm_5%,0.18596550064697784,1
original_gldm_LargeDependenceHighGrayLevelEmphasis_95%,0.18581578604433915,-1
original_glcm_JointEntropy_50%,0.18526874938119725,-1
original_glcm_JointEnergy_max,0.1838311746414462,1
original_gldm_DependenceVariance_5%,0.1819268285569702,-1
original_glcm_Idmn_5%,0.18053806402659126,-1
original_glszm_LargeAreaEmphasis_95%,0.18001544531089406,-1
original_glrlm_LongRunEmphasis_95%,0.1798871416287778,-1
original_shape2D_Elongation_std,0.17862957588389566,-1
original_ngtdm_Contrast_std,0.17790620036984686,-1
original_gldm_DependenceVariance_mean,0.1775171690224185,1
original_gldm_SmallDependenceEmphasis_std,0.17701816787061042,1
diagnostics_Mask-original_VoxelNum_95%,0.1768816266986141,1
original_shape2D_PixelSurface_95%,0.1768816266986141,1
original_glcm_Imc1_mean,0.1765509199646185,-1
original_shape2D_MeshSurface_95%,0.1763798108033262,1
original_glrlm_RunLengthNonUniformityNormalized_50%,0.17623477048721412,-1
original_gldm_LargeDependenceEmphasis_min,0.17476446336059862,-1
original_glcm_Autocorrelation_min,0.17473958852011753,1
original_glszm_SizeZoneNonUniformityNormalized_50%,0.174708098717072,-1
original_glcm_InverseVariance_5%,0.17397939765207837,-1
original_gldm_GrayLevelVariance_max,0.1733784953719307,-1
original_gldm_DependenceNonUniformity_95%,0.17199955100225436,1
original_firstorder_Mean_50%,0.1713383622040765,1
original_glszm_ZoneEntropy_min,0.17121382355937056,-1
original_firstorder_Maximum_std,0.17101304061748987,-1
original_gldm_GrayLevelVariance_95%,0.16963639339179515,-1
original_glszm_ZonePercentage_std,0.168478027948411,1
original_glcm_SumEntropy_50%,0.16813272368689938,-1
original_firstorder_MeanAbsoluteDeviation_min,0.16687823424529935,1
original_glcm_Idmn_50%,0.16671205592672714,1
original_firstorder_Entropy_max,0.16526509357525773,-1
original_glrlm_RunPercentage_std,0.1649203980371157,1
original_firstorder_90Percentile_mean,0.16452924684694176,1
original_ngtdm_Strength_5%,0.1630736944029715,-1
original_glcm_ClusterShade_50%,0.16290208309473983,1
original_gldm_HighGrayLevelEmphasis_5%,0.1616901489735097,1
original_gldm_SmallDependenceLowGrayLevelEmphasis_max,0.16161968719764885,1
original_glcm_Correlation_50%,0.16147761388813095,-1
original_glcm_InverseVariance_max,0.1600345239826088,1
original_ngtdm_Busyness_50%,0.15932919125840408,-1
original_glszm_GrayLevelNonUniformityNormalized_50%,0.15831967182332896,1
original_glrlm_GrayLevelNonUniformityNormalized_50%,0.15793218746205082,1
original_gldm_LargeDependenceEmphasis_std,0.15777016307277578,1
original_firstorder_90Percentile_std,0.15676280278486227,-1
original_firstorder_InterquartileRange_std,0.15655495723384674,1
diagnostics_Image-original_Maximum_min,0.15654137142868446,1
diagnostics_Image-original_Maximum_5%,0.15654137142868446,1
diagnostics_Image-original_Maximum_mean,0.15654137142868446,1
diagnostics_Image-original_Maximum_95%,0.15654137142868446,1
diagnostics_Image-original_Maximum_50%,0.15654137142868446,1
diagnostics_Image-original_Maximum_max,0.15654137142868446,1
original_glcm_MaximumProbability_95%,0.15499670480003155,-1
original_firstorder_Entropy_95%,0.15484363890787603,1
original_glcm_SumSquares_50%,0.15480195153739784,1
original_firstorder_Minimum_50%,0.15340799783115883,-1
original_glcm_JointEnergy_min,0.1528221718569646,-1
original_shape2D_PerimeterSurfaceRatio_95%,0.15277325523059632,-1
original_ngtdm_Busyness_5%,0.15253713232735608,1
original_firstorder_10Percentile_50%,0.15200256383224892,-1
original_glcm_MCC_std,0.15130722654083348,1
original_gldm_GrayLevelNonUniformity_mean,0.15052415712587777,1
original_glrlm_RunPercentage_min,0.1490473723387402,1
original_glszm_ZonePercentage_min,0.1490473723387402,1
original_gldm_SmallDependenceHighGrayLevelEmphasis_50%,0.14862023627437648,1
original_glszm_SizeZoneNonUniformity_std,0.1480725149826579,1
original_glcm_Idn_mean,0.14800336990402704,1
original_firstorder_TotalEnergy_max,0.14782166563627389,-1
original_firstorder_Energy_max,0.14782166563627389,-1
original_gldm_SmallDependenceHighGrayLevelEmphasis_95%,0.14780083170518227,-1
