,abs_coef,indicator
original_firstorder_RootMeanSquared_50%,0.3822798802526099,1
original_glszm_ZoneVariance_mean,0.3819987640586513,1
original_glrlm_RunVariance_mean,0.3819987640586513,1
original_glcm_Autocorrelation_95%,0.3793412620980562,1
original_shape2D_Perimeter_5%,0.3773670463715781,-1
original_gldm_DependenceEntropy_max,0.3757201542085535,1
original_glcm_DifferenceEntropy_max,0.3725935665963704,1
original_gldm_LargeDependenceHighGrayLevelEmphasis_max,0.3715526054627407,-1
original_firstorder_Range_std,0.3679632207893715,1
original_glszm_GrayLevelNonUniformityNormalized_min,0.36362327316174,1
original_glrlm_GrayLevelNonUniformityNormalized_min,0.36362327316174,1
original_firstorder_InterquartileRange_5%,0.3619997950673248,1
original_glcm_Autocorrelation_min,0.35976925199012605,1
original_glcm_JointEntropy_5%,0.3592649709548917,1
original_firstorder_MeanAbsoluteDeviation_95%,0.3583887015939708,1
original_ngtdm_Complexity_min,0.3549633696203298,-1
original_gldm_GrayLevelVariance_std,0.3483693886554577,-1
original_glrlm_GrayLevelVariance_std,0.34699635074733576,-1
original_glszm_GrayLevelVariance_std,0.3469220251153586,-1
original_shape2D_Perimeter_min,0.34612513730663896,-1
original_glcm_SumAverage_max,0.3443472805528527,1
original_glcm_JointAverage_max,0.34434728055213026,1
original_glcm_ClusterProminence_min,0.3443392374704561,-1
original_shape2D_Elongation_mean,0.3437040208937063,-1
original_ngtdm_Contrast_95%,0.3435690786585507,-1
original_glrlm_LowGrayLevelRunEmphasis_95%,0.3411714860050853,-1
original_glcm_ClusterTendency_5%,0.3409851048327933,1
original_glcm_JointAverage_std,0.34087223735994365,-1
original_glcm_SumAverage_std,0.34087223735951266,-1
original_glszm_LowGrayLevelZoneEmphasis_95%,0.34012138858664304,-1
original_glszm_SizeZoneNonUniformity_max,0.3386786215884018,-1
original_glrlm_RunLengthNonUniformity_max,0.3386786215884018,-1
original_glcm_JointEnergy_max,0.3352204570483987,1
diagnostics_Image-original_Mean_95%,0.3327711674445927,-1
diagnostics_Image-original_Mean_5%,0.33277116744459084,-1
diagnostics_Image-original_Mean_max,0.33277116744459045,-1
diagnostics_Image-original_Mean_50%,0.33277116744459045,-1
diagnostics_Image-original_Mean_min,0.33277116744459045,-1
diagnostics_Image-original_Mean_mean,0.3327711674445897,-1
original_glrlm_ShortRunEmphasis_5%,0.33234618955218403,-1
original_glszm_SmallAreaEmphasis_5%,0.3322104855741583,-1
original_glrlm_ShortRunLowGrayLevelEmphasis_max,0.3321917818635798,-1
original_firstorder_Variance_std,0.33074900333029145,-1
original_shape2D_PerimeterSurfaceRatio_mean,0.32973172014911795,1
original_ngtdm_Coarseness_mean,0.3281699479878856,-1
original_glrlm_LowGrayLevelRunEmphasis_max,0.3269435063585235,1
original_glszm_LowGrayLevelZoneEmphasis_max,0.3269435063585235,1
original_glcm_Imc2_5%,0.3268526025235601,-1
original_gldm_HighGrayLevelEmphasis_min,0.3228874557128405,-1
original_glrlm_GrayLevelNonUniformity_5%,0.3204332254680987,1
original_firstorder_Range_max,0.3196488832443956,1
original_glcm_ClusterTendency_std,0.3196369611418016,-1
original_glcm_SumSquares_std,0.3189716224055927,-1
original_glcm_Idmn_95%,0.31750592907215697,-1
original_glszm_GrayLevelNonUniformity_min,0.3171749484755305,1
original_glrlm_GrayLevelNonUniformity_min,0.3171749484755305,1
original_glszm_SmallAreaLowGrayLevelEmphasis_std,0.3159219565662947,1
